All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  1.310800	     0.040	     0.000	    -0.070	     0.081
  1.322100	     0.030	     0.000	    -0.070	     0.076
  1.333400	     0.020	     0.020	    -0.070	     0.075
  1.344700	     0.010	     0.000	    -0.090	     0.091
  1.356000	     0.030	     0.010	    -0.080	     0.086
  1.367300	     0.030	     0.010	    -0.080	     0.086
  1.378600	     0.020	     0.020	    -0.090	     0.094
  1.389900	     0.030	     0.010	    -0.090	     0.095
  1.401200	     0.020	     0.000	    -0.090	     0.092
  1.412500	     0.030	     0.020	    -0.090	     0.097
  1.423800	     0.040	     0.000	    -0.100	     0.108
  1.435100	     0.030	    -0.010	    -0.090	     0.095
  1.446400	     0.030	     0.020	    -0.080	     0.088
  1.457700	     0.010	     0.010	    -0.100	     0.101
  1.469000	     0.020	     0.010	    -0.090	     0.093
  1.480300	     0.020	     0.000	    -0.090	     0.092
  1.491600	     0.050	     0.010	    -0.090	     0.103
  1.502900	     0.030	     0.000	    -0.090	     0.095
  1.514200	     0.030	     0.010	    -0.090	     0.095
  1.525500	     0.020	     0.000	    -0.090	     0.092
  1.536800	     0.040	     0.000	    -0.080	     0.089
  1.548100	     0.030	     0.000	    -0.080	     0.085
  1.559400	     0.030	    -0.010	    -0.090	     0.095
  1.570700	     0.030	     0.000	    -0.080	     0.085
  1.582000	     0.020	     0.020	    -0.070	     0.075
  1.593300	     0.050	     0.000	    -0.090	     0.103
  1.604600	     0.030	     0.000	    -0.090	     0.095
  1.615900	     0.040	     0.000	    -0.080	     0.089
  1.627200	     0.040	     0.020	    -0.080	     0.092
  1.638500	     0.050	     0.010	    -0.070	     0.087
  1.649800	     0.040	     0.000	    -0.080	     0.089
  1.661100	     0.030	     0.010	    -0.100	     0.105
  1.672400	     0.050	     0.000	    -0.080	     0.094
  1.683700	     0.050	    -0.010	    -0.080	     0.095
  1.695000	     0.040	     0.010	    -0.100	     0.108
  1.706300	     0.040	     0.000	    -0.070	     0.081
  1.717600	     0.030	     0.010	    -0.100	     0.105
  1.728900	     0.020	     0.010	    -0.090	     0.093
  1.740200	     0.030	     0.000	    -0.070	     0.076
  1.751500	     0.040	     0.000	    -0.090	     0.098
  1.762800	     0.040	     0.010	    -0.070	     0.081
  1.774100	     0.040	     0.010	    -0.110	     0.117
  1.785400	     0.030	     0.000	    -0.090	     0.095
  1.796700	     0.030	     0.010	    -0.080	     0.086
  1.808000	     0.020	     0.000	    -0.070	     0.073
  1.819300	     0.050	     0.010	    -0.100	     0.112
  1.830600	     0.030	     0.010	    -0.090	     0.095
