All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.750320	     0.010	     0.010	    -0.010	     0.017
  0.756960	    -0.030	    -0.010	    -0.060	     0.068
  0.763600	    -0.020	    -0.010	    -0.010	     0.024
  0.770240	     0.000	    -0.040	    -0.060	     0.072
  0.776880	     0.000	    -0.010	    -0.020	     0.022
  0.783520	     0.000	     0.000	    -0.060	     0.060
  0.790160	     0.000	    -0.030	    -0.020	     0.036
  0.796800	     0.000	    -0.040	    -0.020	     0.045
  0.803440	    -0.030	    -0.020	    -0.050	     0.062
  0.810080	    -0.010	    -0.010	    -0.070	     0.071
  0.816720	    -0.020	    -0.020	    -0.030	     0.041
  0.823360	     0.010	    -0.020	    -0.020	     0.030
  0.830000	     0.010	    -0.050	     0.020	     0.055
  0.836640	    -0.020	    -0.010	    -0.030	     0.037
  0.843280	     0.020	    -0.030	    -0.050	     0.062
  0.849920	     0.010	    -0.020	     0.000	     0.022
  0.856560	     0.010	    -0.040	     0.010	     0.042
  0.863200	     0.010	    -0.020	    -0.030	     0.037
  0.869840	     0.010	    -0.020	    -0.010	     0.024
  0.876480	    -0.020	    -0.040	    -0.030	     0.054
  0.883120	     0.000	    -0.010	    -0.050	     0.051
  0.889760	     0.000	    -0.030	    -0.050	     0.058
  0.896400	    -0.010	    -0.030	    -0.010	     0.033
  0.903040	    -0.020	    -0.020	    -0.010	     0.030
  0.909680	     0.010	    -0.010	    -0.010	     0.017
  0.916320	    -0.010	    -0.010	    -0.010	     0.017
  0.922960	     0.000	    -0.010	    -0.050	     0.051
  0.929600	     0.000	    -0.020	    -0.030	     0.036
  0.936240	    -0.030	     0.000	    -0.020	     0.036
  0.942880	     0.000	    -0.010	    -0.060	     0.061
  0.949520	     0.020	    -0.050	    -0.050	     0.073
  0.956160	    -0.020	    -0.020	     0.020	     0.035
  0.962800	    -0.030	    -0.030	    -0.010	     0.044
  0.969440	    -0.030	     0.000	    -0.010	     0.032
  0.976080	     0.000	     0.010	    -0.050	     0.051
  0.982720	     0.000	     0.000	     0.010	     0.010
  0.989360	    -0.020	    -0.030	    -0.050	     0.062
  0.996000	    -0.020	     0.000	    -0.030	     0.036
  1.002640	     0.010	    -0.020	    -0.050	     0.055
  1.009280	     0.000	    -0.020	    -0.020	     0.028
  1.015920	    -0.010	     0.010	    -0.010	     0.017
  1.022560	    -0.010	     0.010	    -0.010	     0.017
  1.029200	    -0.020	    -0.030	    -0.030	     0.047
  1.035840	    -0.010	    -0.010	    -0.030	     0.033
  1.042480	    -0.020	     0.010	    -0.020	     0.030
  1.049120	    -0.010	     0.010	    -0.050	     0.052
  1.055760	     0.000	     0.000	    -0.050	     0.050
  1.062400	    -0.010	    -0.030	    -0.020	     0.037
  1.069040	     0.000	    -0.020	     0.000	     0.020
  1.075680	    -0.010	     0.020	    -0.020	     0.030
  1.082320	     0.000	    -0.030	    -0.050	     0.058
  1.088960	    -0.010	    -0.020	    -0.020	     0.030
  1.095600	     0.000	     0.000	    -0.020	     0.020
  1.102240	    -0.040	    -0.010	    -0.010	     0.042
  1.108880	     0.020	    -0.010	    -0.010	     0.024
  1.115520	     0.000	    -0.020	    -0.030	     0.036
  1.122160	    -0.010	    -0.030	    -0.010	     0.033
  1.128800	    -0.030	    -0.010	    -0.030	     0.044
  1.135440	     0.000	    -0.020	    -0.010	     0.022
  1.142080	     0.000	     0.000	    -0.030	     0.030
  1.148720	    -0.010	    -0.030	    -0.030	     0.044
  1.155360	     0.000	    -0.010	    -0.020	     0.022
  1.162000	    -0.010	    -0.010	    -0.020	     0.024
  1.168640	     0.000	    -0.030	    -0.020	     0.036
  1.175280	     0.000	    -0.010	    -0.050	     0.051
  1.181920	    -0.010	    -0.040	    -0.030	     0.051
  1.188560	    -0.010	    -0.010	    -0.030	     0.033
  1.195200	    -0.030	    -0.040	     0.000	     0.050
  1.201840	    -0.020	    -0.020	    -0.010	     0.030
  1.208480	     0.020	     0.010	     0.000	     0.022
  1.215120	     0.000	     0.020	     0.020	     0.028
  1.221760	     0.010	    -0.020	     0.000	     0.022
  1.228400	    -0.040	     0.000	    -0.020	     0.045
  1.235040	    -0.020	     0.000	    -0.020	     0.028
  1.241680	     0.010	    -0.010	    -0.030	     0.033
  1.248320	    -0.030	    -0.040	    -0.020	     0.054
  1.254960	     0.000	    -0.020	     0.000	     0.020
  1.261600	    -0.010	    -0.010	    -0.030	     0.033
  1.268240	     0.000	    -0.030	    -0.020	     0.036
  1.274880	     0.000	    -0.040	     0.000	     0.040
  1.281520	    -0.020	    -0.020	     0.000	     0.028
  1.288160	    -0.010	    -0.010	    -0.020	     0.024
  1.294800	     0.010	     0.010	    -0.020	     0.024
  1.301440	    -0.030	     0.000	    -0.020	     0.036
  1.308080	     0.010	    -0.030	     0.000	     0.032
  1.314720	    -0.010	    -0.010	    -0.020	     0.024
  1.321360	    -0.020	     0.000	    -0.020	     0.028
  1.328000	    -0.010	     0.000	    -0.050	     0.051
  1.334640	    -0.020	    -0.030	     0.020	     0.041
  1.341280	    -0.010	    -0.010	     0.010	     0.017
  1.347920	    -0.010	     0.000	     0.000	     0.010
